date_report_dd_mm_yyyy,country,sources
2020-02-24,Afghanistan,https://news.yahoo.com/afghanistan-confirms-first-case-coronavirus-074541022.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAALYWg3hbODd7FsPnAWzAfNI7wR_cnKG8JySBgM2FvLP7BzvTePk3mZMDPXokJHIyfKugxQfdWEB9nTgqR5fYoFckoMn5IobwUL6vRP_6oKOCuTmwb4USMt7_Vaf8YGX5p0Bftl-of-reInkZBqWxTbxeI3xuEzqtcwj24hEAC2zt
2020-02-24,Afghanistan,https://www.aa.com.tr/en/asia-pacific/afghanistan-confirms-1st-case-of-coronavirus/1743012
2020-02-24,Afghanistan,https://www.voanews.com/science-health/coronavirus-outbreak/afghanistans-first-case-coronavirus-confirmed
2020-02-24,Afghanistan,https://www.thenewhumanitarian.org/news/2020/02/26/Afghanistan-coronavirus-Covid-19-Iran-outbreak-conflict-epidemic
2020-02-26,Algeria,https://www.middleeastmonitor.com/20200226-algeria-confirms-first-case-of-coronavirus/
2020-02-26,Algeria,https://english.alarabiya.net/en/News/north-africa/2020/02/25/Algeria-reports-first-case-of-coronavirus.html
2020-01-25,Australia,https://www.health.nsw.gov.au/news/Pages/20200125_03.aspx
2020-01-25,Australia,https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/first-confirmed-case-of-novel-coronavirus-in-australia
2020-01-25,Australia,https://uk.reuters.com/article/uk-china-health-australia/australia-confirms-four-cases-of-coronavirus-expects-more-cases-idUKKBN1ZO02K?feedType=RSS&feedName=topNews
2020-01-25,Australia,https://www.independent.co.uk/news/world/australasia/coronavirus-australia-china-death-toll-melbourne-wuhan-virus-symptoms-latest-a9301236.html
2020-01-25,Australia,https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/press-conference-at-parliament-house-about-novel-coronavirus-1
2020-01-25,Australia,https://www.health.nsw.gov.au/news/Pages/202200207_00.aspx
2020-01-25,Australia,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert
2020-01-25,Australia,https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/press-conference-about-coronavirus-covid-19-with-the-prime-minister-treasurer-and-chief-medical-officer
2020-01-27,Australia,https://www.theaustralian.com.au/news/latest-news/fears-for-new-potential-coronavirus-victim/news-story/657246243cbedc7e92e84ab04b45e402
2020-01-27,Australia,https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/press-conference-at-parliament-house-about-novel-coronavirus-1
2020-01-27,Australia,https://www.health.nsw.gov.au/news/Pages/202200207_00.aspx
2020-01-29,Australia,https://www.abc.net.au/news/2020-01-29/victoria-confirms-second-case-of-coronavirus/11911076
2020-01-29,Australia,http://conditions.health.qld.gov.au/HealthCondition/condition/14/217/838/novel-coronavirus
2020-01-29,Australia,https://www.9news.com.au/national/coronavirus-outbreak-two-australians-treated-in-china-for-deadly-disease/03f7d260-4ced-4557-8e22-c62ce9861eff
2020-01-29,Australia,https://www.news.com.au/lifestyle/health/health-problems/melbourne-diners-may-have-been-exposed-to-coronavirus/news-story/cdb74c00e305a881ff6938334dbb3ac1
2020-01-29,Australia,https://www2.health.vic.gov.au/about/media-centre/MediaReleases/second-novel-coronavirus-case-victoria
2020-01-29,Australia,https://www.health.qld.gov.au/news-events/health-alerts/novel-coronavirus
2020-01-29,Australia,https://www2.health.vic.gov.au/about/media-centre/MediaReleases/third-novel-coronavirus-case-victoria
2020-01-29,Australia,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert
2020-01-29,Australia,https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/press-conference-about-coronavirus-covid-19-with-the-prime-minister-treasurer-and-chief-medical-officer
2020-01-29,Australia,https://www.health.qld.gov.au/news-events/doh-media-releases/releases/queensland-coronavirus-update6
2020-02-01,Australia,https://www.sbs.com.au/news/fresh-coronavirus-cases-in-victoria-and-sa-takes-australian-total-to-11
2020-02-01,Australia,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert
